feature,importance
funding_total_usd,0.50392294
company_age,0.19824941
funding_log1p,0.07414258
sector_group_food_services,0.046040986
sector_group_finance,0.033596225
sector_group_manufacturing,0.03147587
sector_group_infrequent_sklearn,0.031193383
sector_group_clean_technology,0.026376188
sector_group_information,0.022931585
sector_group_health_care,0.016764022
sector_group_retail,0.015306773
sector_group_travel,0.0
sector_group_media,0.0
sector_group_networking,0.0
sector_group_network_security,0.0
sector_group_nanotechnology,0.0
sector_group_music,0.0
sector_group_messaging,0.0
sector_group_marketplaces,0.0
sector_group_nonprofits,0.0
sector_group_advertising,0.0
sector_group_legal,0.0
sector_group_infrastructure,0.0
sector_group_information_technology,0.0
sector_group_information_services,0.0
sector_group_information_security,0.0
sector_group_news,0.0
sector_group_photography,0.0
sector_group_transportation,0.0
sector_group_human_resources,0.0
sector_group_public_transportation,0.0
sector_group_real_estate,0.0
sector_group_reviews_and_recommendations,0.0
sector_group_search,0.0
sector_group_security,0.0
sector_group_semiconductors,0.0
sector_group_service_providers,0.0
sector_group_services,0.0
sector_group_unknown,0.0
sector_group_social_media,0.0
sector_group_technology,0.0
sector_group_telecommunications,0.0
sector_group_public_relations,0.0
sector_group_audio,0.0
sector_group_auto,0.0
sector_group_collaboration,0.0
sector_group_consumer_goods,0.0
sector_group_consulting,0.0
sector_group_computers,0.0
sector_group_communities,0.0
sector_group_communications_infrastructure,0.0
sector_group_commercial_real_estate,0.0
sector_group_cloud_computing,0.0
sector_group_games,0.0
sector_group_clean_energy,0.0
sector_group_business_services,0.0
sector_group_broadcasting,0.0
sector_group_banking,0.0
sector_group_b2b,0.0
sector_group_automotive,0.0
sector_group_content,0.0
sector_group_content_delivery,0.0
sector_group_cyber_security,0.0
sector_group_data_security,0.0
sector_group_databases,0.0
sector_group_design,0.0
sector_group_digital_media,0.0
sector_group_education,0.0
sector_group_electronics,0.0
sector_group_email,0.0
sector_group_energy,0.0
sector_group_entertainment,0.0
sector_group_facebook_applications,0.0
sector_group_fashion,0.0
sector_group_artists_globally,0.0
sector_group_apps,0.0
sector_group_analytics,0.0
sector_group_financial_services,0.0
