Trend,Category,2025 Status,2026 Outlook,2027 Outlook,2028 Outlook,2029 Outlook,2030 Outlook,Confidence Level,Est. Market Size 2025 (USD Billion),Est. Market Size 2030 (USD Billion),CAGR (%),Key Driving Forces,Key Risk Factors
AI-Native Startups,Technology,Dominant - 50% of VC,Accelerate,Accelerate,Mainstream,Mainstream,Commoditize,High,243,800,27%,LLM cost reduction; enterprise adoption,Regulatory crackdown; bubble risk
Agentic AI & Automation,Technology,Emerging fast,Rapid growth,Scale,Scale,Mainstream,Pervasive,High,15,180,65%,Productivity demand; enterprise ROI,Talent gap; trust issues
Climate Tech & Green Energy,Sustainability,Strong growth,Expand,Expand,Accelerate,Accelerate,Critical infra,High,120,400,27%,Net-zero mandates; carbon markets,Policy reversal; capital concentration
Defense Tech & Dual-Use,Deep Tech,Accelerating,Surge,Surge,Scale,Scale,Large sector,High,28,120,34%,Geopolitical instability; govt contracts,Regulatory complexity
Digital Health & AI Health,Healthcare,Growing steadily,Expand,Expand,Scale,Scale,Mainstream,High,65,200,25%,Aging population; AI diagnostics,Regulatory delays; data privacy
BioTech + AI Convergence,Healthcare,Early stage,Grow,Accelerate,Accelerate,Scale,Mainstream,Medium-High,45,160,29%,Drug discovery speed; longevity demand,Clinical trial timelines
Quantum Computing Startups,Deep Tech,Pre-commercial,Niche,Early commercial,Commercial,Scale,Broad adoption,Medium,5,60,65%,Hardware progress; cryptography needs,Technical barriers remain high
Space Tech & Satellites,Deep Tech,Scaling,Grow,Grow,Scale,Scale,Mainstream,Medium-High,15,65,34%,SpaceX ecosystem; LEO demand,High capex; long timelines
Web3 & Decentralised Finance,Blockchain,Recovery mode,Stabilise,Grow,Scale,Mainstream,Mature market,Medium,18,75,33%,Institutional adoption; tokenization,Regulatory uncertainty
AR/VR & Spatial Computing,Hardware/Software,Early,Niche,Niche,Grow,Grow,Scale,Medium,12,55,36%,Apple Vision Pro ecosystem,High hardware costs; adoption lag
Femtech,Healthcare,Underinvested,Grow,Grow,Accelerate,Scale,Mainstream,High,6,35,42%,50% of population underserved,Stigma; regulatory variation
B2B AI SaaS,Technology,Booming,Accelerate,Scale,Mainstream,Mainstream,Consolidating,High,60,210,28%,Enterprise automation ROI,Commoditization; pricing pressure
Autonomous Vehicles & Robotics,Deep Tech,Scaling slowly,Grow,Grow,Accelerate,Scale,Mainstream,Medium,30,140,36%,Labour costs; logistics demand,Safety regulation; high capex
EdTech 2.0 (AI-Personalised),EdTech,Recovery,Grow,Grow,Scale,Scale,Mainstream,Medium-High,11,45,32%,AI tutoring; global access,Low willingness to pay; churn
