Sector,2021 (Actual),2022 (Actual),2023 (Actual),2024 (Actual),2025 (Actual),2026 (Projected),2027 (Projected),2028 (Projected),2029 (Projected),2030 (Projected),CAGR (2025-2030),Source
Artificial Intelligence & ML,75,95,110,175,210,280,370,490,640,830,32%,DemandSage; 50% of all VC in 2025
Fintech,120,90,60,70,88,95,106,118,132,148,11%,Founders Forum; 50% YoY increase Q1 2025
Healthcare & Digital Health,85,75,55,60,65,72,81,91,103,116,12%,16.5% of global VC deal activity Q1 2025
Climate Tech & Clean Energy,40,50,60,70,80,96,115,138,166,199,20%,£75B invested 2023; strong regulatory tailwind
Cybersecurity,20,22,18,22,28,35,44,55,69,86,25%,Q2 2025 surged to $4.9B; 3-year high (Crunchbase)
SaaS / Enterprise Software,90,70,55,55,60,66,73,80,88,97,10%,239 unicorns in sector (high5test.com)
EdTech,20,15,10,10,11,12,14,16,18,21,14%,Cooling after COVID peak; recovery underway
Proptech,18,15,12,15,17,19,22,25,29,33,14%,~$15.1B raised globally in 2024 (FF Group)
Blockchain & Web3,30,20,12,14,18,22,28,35,44,55,25%,~$13.6B raised globally in 2024 (FF Group)
BioTech & Life Sciences,55,48,38,40,45,51,58,66,75,85,14%,Driven by AI-biology convergence
Defense Tech & Deep Tech,10,12,15,20,28,36,46,59,76,98,28%,Anduril $2.5B Series G 2025; rapid growth
SpaceTech,8,10,10,12,15,18,22,27,33,40,22%,SpaceX $350B expected valuation
