company_name,sector,funding_total_usd,company_age,target,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,High Operational Costs
1 Mainstream,Apps|Cable|Distribution|Software,5000000.0,14,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1000 Markets,Art|E-Commerce|Marketplaces,500000.0,17,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1000memories,Curated Web,2535000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
100Plus,Analytics,1250000.0,15,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1010data,Software,35000000.0,26,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
yelster digital gmbh (former 123people),Local Search|Software|Web Design,0.0,19,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
12Society,E-Commerce,0.0,14,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
13th Lab,Augmented Reality|Computer Vision|Games|iPad|Mobile,700000.0,16,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
170 Systems,Software,14000000.0,36,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1CLICK,Chat|Mobile,0.0,14,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,1700000.0,15,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
21viaNet,Software|Web Hosting,396000000.0,17,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
22nd Century Group,Biotechnology,15034750.0,28,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
280 North,Presentations|Software,250000.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
29West,0,0.0,2026,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
2lemetry,Internet of Things|M2M|Software,4000000.0,15,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
"2nd Story Software, Inc.",Software,85000000.0,28,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
2U Inc.,EdTech|Education|Software,95875000.0,18,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
