Metric,2021 (Actual),2022 (Actual),2023 (Actual),2024 (Actual),2025 (Actual),2026 (Projected),2027 (Projected),2028 (Projected),2029 (Projected),2030 (Projected),Source
Global VC Funding (USD Billion),643,474,285,330,425,480,540,610,690,780,Crunchbase/DemandSage; ~13% CAGR projected
Total Active Startups (Millions),4.2,4.7,5.0,5.2,5.4,5.7,6.1,6.5,7.0,7.5,DemandSage/DojoBusiness 2025
Total Unicorns Worldwide,900,1100,1200,1450,1565,1750,2050,2400,2800,3200,CB Insights Jan 2025; 2019 baseline was 494
Global Startup Ecosystem Value (USD Trillion),3.1,3.4,3.6,3.8,4.1,4.6,5.2,5.9,6.7,7.6,Exploding Topics 2024
New Startups Launched Per Year (Millions),50,50,50,50,50,52,54,57,60,65,DemandSage 2025
Global Startup Failure Rate (%),90,90,90,90,90,89,88,87,86,85,CB Insights; gradual improvement expected
Startups Turning Profitable (%),40,40,40,40,40,42,44,46,48,50,Small Business Trends / FinancesOnline
AI Share of Total VC (%),12,20,26,33,50,55,58,62,65,68,DemandSage 2025; surged dramatically
Global Startup M&A Deal Count,700,750,800,810,918,1000,1100,1220,1350,1500,Crunchbase H1 2025
Global Startup M&A Deal Value (USD Billion),60,70,55,40,100,120,140,165,195,230,Crunchbase; 155% jump YoY H1 2025
